,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
331,Smoke House Club,Moskovsky,"Малая Каштановая аллея, 9, корп. 1",Дунайская,+7 (981) 112-89-46,https://vk.com/shc_kupchino,http://instagram.com/smokehouseclub
332,Feromon Freemens,Moskovsky,"Ивановская ул., 17",Ломоносовская,+7 (812) 965-00-97,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
333,Graff Lounge,Moskovsky,"Московский просп., 183-185Бк9",Московская,+7 (996) 499-96-98,https://vk.com/graff_lounge,Не указано
334,Тяга лаунж,Moskovsky,"Софийская ул., 47, корп. 1",Проспект Славы,+7 (812) 984-66-16,https://vk.com/tyagalounge,https://www.instagram.com/tyaga.lounge
335,HookahPlace,Moskovsky,"Варшавская ул., 23, корп. 2",Парк Победы,8 (800) 555-88-50,https://vk.com/hp_spb_varshava,https://www.instagram.com/hookahplaceofficial
336,Hookah Zen,Moskovsky,"Новоизмайловский просп., 46, корп. 2",Московская,+7 (911) 111-46-46,https://vk.com/hookahzen,https://www.instagram.com/hookah.zen/
337,Brooklyn,Moskovsky,"ул. Гастелло, 11",Московская,+7 (964) 333-66-64,https://vk.com/brooklyn_11,Не указано
338,Feromon Neft,Moskovsky,"просп. Космонавтов, 63, корп. 1",Звёздная,+7 (812) 995-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
339,SmokeSpot Campus,Moskovsky,"Варшавская ул., 23, корп. 2",Парк Победы,+7 (812) 292-39-23,https://vk.com/smokespot,https://www.instagram.com/smokespot_spb
340,Oblako Lounge,Moskovsky,"Пулковское ш., 14, стр. 6",Звёздная,+7 (905) 255-99-88,Не указано,Не указано
341,Royal Smoke Zvezda,Moskovsky,"ул. Ленсовета, 90",Звёздная,+7 (812) 929-32-00,https://vk.com/royalsmokespb,https://www.instagram.com/royalsmokespb/
342,Science of Smoking,Moskovsky,"Кузнецовская ул., 44",Парк Победы,+7 (952) 280-90-90,https://vk.com/scienceofsmoking,https://www.instagram.com/scienceofsmoking/
343,Мир кальянов,Moskovsky,"Ленинский просп., 128, корп. 2",Ленинский проспект,+7 (812) 985-00-15,https://vk.com/kalyanovmir,https://www.instagram.com/alkalyans
344,Гильдия,Moskovsky,"Россия, Санкт-Петербург, набережная Обводного канала, 120",Балтийская,+7 (812) 436-31-32,https://vk.com/club801401,Не указано
345,Lounge-bar Smoke Palace,Moskovsky,"Автовская ул., 35",Кировский завод,+7 (981) 127-07-06,http://vk.com/smokepalace,https://www.instagram.com/smokepalacespb
346,Лаунж-бар Levitan,Moskovsky,"Киевская ул., 3",Фрунзенская,+7 (999) 039-01-24,http://vk.com/levitanloungebar,http://instagram.com/levitanbar
347,Brooklyn,Moskovsky,"Смоленская ул., 1",Фрунзенская,+7 (981) 166-33-34,Не указано,https://instagram.com/brooklyn_gs78?igshid=10k3o8sxtjko0
