,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
78,Пумба,Vasileoostrovsky,"Итальянская ул., 14/16",Гостиный двор,+7 (812) 425-64-68,https://vk.com/hookah_pumba,https://www.instagram.com/hookah_pumba
79,Молодость,Vasileoostrovsky,"Большая Конюшенная ул., 9",Гостиный двор,+7 (921) 907-09-23,https://vk.com/spbmolodost,Не указано
80,Бар Лаборатория 31,Vasileoostrovsky,"ул. Марата, 35",Владимирская,+7 (911) 775-73-73,https://vk.com/laborbar31,http://instagram.com/laborbar31
81,Лаунж-бар Levitan,Frunzensky,"Загребский бул., 9",Дунайская,+7 (999) 035-66-93,https://vk.com/levitanloungebar,http://www.instagram.com/levitanbar/
82,ТОКИО-CITY,Frunzensky,"Будапештская ул., 92",Дунайская,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
83,ТОКИО-CITY,Frunzensky,"Бухарестская ул., 72, корп. 1",Международная,+7 (812) 677-31-21,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
84,ТОКИО-CITY,Frunzensky,"Бухарестская ул., 32",Бухарестская,+7 (812) 207-52-10,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
85,ТОКИО-CITY,Frunzensky,"просп. Славы, 15",Проспект Славы,+7 (812) 612-80-53,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
86,ТОКИО-CITY,Frunzensky,"Балканская площадь, 5В",Купчино,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
87,Тяга лаунж,Frunzensky,"Софийская ул., 47, корп. 1",Проспект Славы,+7 (812) 984-66-16,https://vk.com/tyagalounge,https://www.instagram.com/tyaga.lounge
88,Турка лаунж,Frunzensky,"ул. Турку, 13, корп. 1",Международная,+7 (981) 153-03-95,https://vk.com/hookah_mezhd,https://www.instagram.com/turka_mezhd
89,G lounge,Frunzensky,"Будапештская ул., 19, корп. 1",Международная,+7 (981) 133-94-54,Не указано,http://instagram.com/Glounge.ru
90,ФриДым,Frunzensky,"ул. Победы, 21, Московский район",Парк Победы,+7 (923) 888-47-85,Не указано,http://www.instagram.com/freedymofficial
91,В тумане,Frunzensky,"Купчинская ул., 15В",Купчино,+7 (812) 903-64-33,https://vk.com/vtumanehb,https://instagram.com/vtumanehb
92,Feromon Freemens,Frunzensky,"Ивановская ул., 17",Ломоносовская,+7 (812) 965-00-97,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
93,Smoke House Club,Frunzensky,"Малая Каштановая аллея, 9, корп. 1",Дунайская,+7 (981) 112-89-46,https://vk.com/shc_kupchino,http://instagram.com/smokehouseclub
94,Тайм-кафе Cloud Factory,Frunzensky,"просп. Славы, 43",Проспект Славы,+7 (921) 870-51-07,https://vk.com/cloudfactoryslava,https://www.instagram.com/cloudfactoryslava/
95,Nuahule Electro,Frunzensky,"Московский просп., 139, корп. 2",Электросила,+7 (812) 920-39-39,Не указано,https://www.instagram.com/nuahule_electro/
96,4boss Lounge Bar,Frunzensky,"ул. Типанова, 40",Проспект Славы,+7 (812) 209-17-19,https://vk.com/4boss_lounge,Не указано
97,Botanic Lounge Bar,Frunzensky,"наб. Обводного канала, 80Б",Фрунзенская,+7 (921) 948-65-81,https://vk.com/botanbar,https://www.instagram.com/botanic_bar_spb
98,Red 2 Lounge,Frunzensky,"Варшавская ул., 6, корп. 1",Электросила,+7 (923) 888-49-84,https://vk.com/red2lounge,https://www.instagram.com/red2lounge/
99,BAHROMA,Frunzensky,"просп. Славы, 33",Проспект Славы,+7 (812) 677-78-88,https://vk.com/club_bahroma,https://www.instagram.com/bahroma_ru/
100,Feromon Amsterdam Bar,Frunzensky,"Московский просп., 173",Парк Победы,+7 (812) 907-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
101,Лаунж-бар Levitan,Frunzensky,"Киевская ул., 3",Фрунзенская,+7 (999) 039-01-24,http://vk.com/levitanloungebar,http://instagram.com/levitanbar
102,Pixel Lounge,Frunzensky,"Малодетскосельский просп., 28",Технологический институт-1,+7 (993) 216-13-47,http://vk.com/pixellounge,http://instagram.com/pixel_lounge_anticafe
